date,equipe_dom,score_dom,score_ext,equipe_ext,classement_dom,classement_ext
17 mars 2018 Saison régulière,Philadelphia 76ers,,,Brooklyn Nets,,
17 mars 2018 Saison régulière,Toronto Raptors,,,Dallas Mavericks,,
17 mars 2018 Saison régulière,Oklahoma City Thunder,,,LA Clippers,,
17 mars 2018 Saison régulière,Golden State Warriors,,,Sacramento Kings,,
17 mars 2018 Saison régulière,LA Lakers,,,Miami Heat,,
16 mars 2018 Saison régulière,Indiana Pacers,,,Toronto Raptors,,
16 mars 2018 Saison régulière,Atlanta Hawks,,,Charlotte Hornets,,
16 mars 2018 Saison régulière,New York Knicks,,,Philadelphia 76ers,,
16 mars 2018 Saison régulière,Houston Rockets,,,LA Clippers,,
16 mars 2018 Saison régulière,Memphis Grizzlies,,,Chicago Bulls,,
16 mars 2018 Saison régulière,San Antonio Spurs,,,New Orleans Pelicans,,
16 mars 2018 Saison régulière,Denver Nuggets,,,Detroit Pistons,,
16 mars 2018 Saison régulière,Utah Jazz,,,Phoenix Suns,,
16 mars 2018 Saison régulière,Portland Trail Blazers,,,Cleveland Cavaliers,,
15 mars 2018 Saison régulière,Orlando Magic,,,Milwaukee Bucks,,
15 mars 2018 Saison régulière,Boston Celtics,,,Washington Wizards,,
15 mars 2018 Saison régulière,Sacramento Kings,,,Miami Heat,,
15 mars 2018 Saison régulière,Golden State Warriors,,,LA Lakers,,
13 mars 2018 Saison régulière,Houston Rockets,,,San Antonio Spurs,,
13 mars 2018 Saison régulière,Memphis Grizzlies,,,Milwaukee Bucks,,
13 mars 2018 Saison régulière,Oklahoma City Thunder,,,Sacramento Kings,,
13 mars 2018 Saison régulière,Portland Trail Blazers,,,Miami Heat,,
14 mars 2018 Saison régulière,Philadelphia 76ers,,,Indiana Pacers,,
14 mars 2018 Saison régulière,Washington Wizards,,,Minnesota Timberwolves,,
14 mars 2018 Saison régulière,Atlanta Hawks,,,Oklahoma City Thunder,,
14 mars 2018 Saison régulière,New York Knicks,,,Dallas Mavericks,,
14 mars 2018 Saison régulière,Brooklyn Nets,,,Toronto Raptors,,
10 mars 2018 Saison régulière,Detroit Pistons,,,Chicago Bulls,,
14 mars 2018 Saison régulière,Chicago Bulls,,,LA Clippers,,
14 mars 2018 Saison régulière,New Orleans Pelicans,,,Charlotte Hornets,,
14 mars 2018 Saison régulière,San Antonio Spurs,,,Orlando Magic,,
14 mars 2018 Saison régulière,Utah Jazz,,,Detroit Pistons,,
10 mars 2018 Saison régulière,Indiana Pacers,,,Atlanta Hawks,,
10 mars 2018 Saison régulière,Toronto Raptors,,,Houston Rockets,,
10 mars 2018 Saison régulière,New Orleans Pelicans,,,Washington Wizards,,
10 mars 2018 Saison régulière,Milwaukee Bucks,,,New York Knicks,,
14 mars 2018 Saison régulière,Phoenix Suns,,,Cleveland Cavaliers,,
14 mars 2018 Saison régulière,LA Lakers,,,Denver Nuggets,,
11 mars 2018 Saison régulière,Miami Heat,,,Washington Wizards,,
10 mars 2018 Saison régulière,Memphis Grizzlies,,,Utah Jazz,,
10 mars 2018 Saison régulière,Denver Nuggets,,,LA Lakers,,
10 mars 2018 Saison régulière,Portland Trail Blazers,,,Golden State Warriors,,
10 mars 2018 Saison régulière,Sacramento Kings,,,Orlando Magic,,
11 mars 2018 Saison régulière,Dallas Mavericks,,,Memphis Grizzlies,,
11 mars 2018 Saison régulière,Oklahoma City Thunder,,,San Antonio Spurs,,
11 mars 2018 Saison régulière,LA Clippers,,,Orlando Magic,,
11 mars 2018 Saison régulière,New York Knicks,,,Toronto Raptors,,
10 mars 2018 Saison régulière,LA Clippers,,,Cleveland Cavaliers,,
10 mars 2018 Saison régulière,Charlotte Hornets,,,Phoenix Suns,,
12 mars 2018 Saison régulière,Dallas Mavericks,,,Houston Rockets,,
9 mars 2018 Saison régulière,Charlotte Hornets,,,Brooklyn Nets,,
11 mars 2018 Saison régulière,Atlanta Hawks,,,Chicago Bulls,,
11 mars 2018 Saison régulière,Minnesota Timberwolves,,,Golden State Warriors,,
11 mars 2018 Saison régulière,New Orleans Pelicans,,,Utah Jazz,,
11 mars 2018 Saison régulière,Denver Nuggets,,,Sacramento Kings,,
12 mars 2018 Saison régulière,Boston Celtics,,,Indiana Pacers,,
12 mars 2018 Saison régulière,Brooklyn Nets,,,Philadelphia 76ers,,
12 mars 2018 Saison régulière,LA Lakers,,,Cleveland Cavaliers,,
9 mars 2018 Saison régulière,Miami Heat,,,Philadelphia 76ers,,
9 mars 2018 Saison régulière,Minnesota Timberwolves,,,Boston Celtics,,
9 mars 2018 Saison régulière,Oklahoma City Thunder,,,Phoenix Suns,,
9 mars 2018 Saison régulière,Golden State Warriors,,,San Antonio Spurs,,
8 mars 2018 Saison régulière,Indiana Pacers,,,Utah Jazz,,
8 mars 2018 Saison régulière,Chicago Bulls,,,Memphis Grizzlies,,
8 mars 2018 Saison régulière,Detroit Pistons,,,Toronto Raptors,,
8 mars 2018 Saison régulière,Milwaukee Bucks,,,Houston Rockets,,
8 mars 2018 Saison régulière,Sacramento Kings,,,New Orleans Pelicans,,
8 mars 2018 Saison régulière,LA Lakers,,,Orlando Magic,,
8 mars 2018 Saison régulière,Denver Nuggets,,,Cleveland Cavaliers,,
7 mars 2018 Saison régulière,Toronto Raptors,,,Atlanta Hawks,,
7 mars 2018 Saison régulière,Washington Wizards,,,Miami Heat,,
7 mars 2018 Saison régulière,Charlotte Hornets,,,Philadelphia 76ers,,
7 mars 2018 Saison régulière,Oklahoma City Thunder,,,Houston Rockets,,
7 mars 2018 Saison régulière,Dallas Mavericks,,,Denver Nuggets,,
7 mars 2018 Saison régulière,Portland Trail Blazers,,,New York Knicks,,
7 mars 2018 Saison régulière,Golden State Warriors,,,Brooklyn Nets,,
7 mars 2018 Saison régulière,LA Clippers,,,New Orleans Pelicans,,
6 mars 2018 Saison régulière,Cleveland Cavaliers,,,Detroit Pistons,,
6 mars 2018 Saison régulière,Indiana Pacers,,,Milwaukee Bucks,,
6 mars 2018 Saison régulière,Miami Heat,,,Phoenix Suns,,
6 mars 2018 Saison régulière,Chicago Bulls,,,Boston Celtics,,
6 mars 2018 Saison régulière,San Antonio Spurs,,,Memphis Grizzlies,,
6 mars 2018 Saison régulière,Utah Jazz,,,Orlando Magic,,
6 mars 2018 Saison régulière,LA Lakers,,,Portland Trail Blazers,,
4 mars 2018 Saison régulière,Orlando Magic,,,Memphis Grizzlies,,
4 mars 2018 Saison régulière,Cleveland Cavaliers,,,Denver Nuggets,,
4 mars 2018 Saison régulière,Miami Heat,,,Detroit Pistons,,
4 mars 2018 Saison régulière,Houston Rockets,,,Boston Celtics,,
4 mars 2018 Saison régulière,San Antonio Spurs,,,LA Lakers,,
4 mars 2018 Saison régulière,Portland Trail Blazers,,,Oklahoma City Thunder,,
4 mars 2018 Saison régulière,Sacramento Kings,,,Utah Jazz,,
4 mars 2018 Saison régulière,Atlanta Hawks,,,Phoenix Suns,,
5 mars 2018 Saison régulière,Toronto Raptors,,,Charlotte Hornets,,
5 mars 2018 Saison régulière,Washington Wizards,,,Indiana Pacers,,
5 mars 2018 Saison régulière,Dallas Mavericks,,,New Orleans Pelicans,,
5 mars 2018 Saison régulière,Milwaukee Bucks,,,Philadelphia 76ers,,
5 mars 2018 Saison régulière,LA Clippers,,,Brooklyn Nets,,
5 mars 2018 Saison régulière,Sacramento Kings,,,New York Knicks,,
3 mars 2018 Saison régulière,Orlando Magic,,,Detroit Pistons,,
3 mars 2018 Saison régulière,Philadelphia 76ers,,,Charlotte Hornets,,
3 mars 2018 Saison régulière,Atlanta Hawks,,,Golden State Warriors,,
3 mars 2018 Saison régulière,Chicago Bulls,,,Dallas Mavericks,,
3 mars 2018 Saison régulière,Milwaukee Bucks,,,Indiana Pacers,,
3 mars 2018 Saison régulière,Washington Wizards,,,Toronto Raptors,,
3 mars 2018 Saison régulière,Memphis Grizzlies,,,Denver Nuggets,,
3 mars 2018 Saison régulière,Phoenix Suns,,,Oklahoma City Thunder,,
3 mars 2018 Saison régulière,LA Clippers,,,New York Knicks,,
3 mars 2018 Saison régulière,Utah Jazz,,,Minnesota Timberwolves,,
2 mars 2018 Saison régulière,Miami Heat,,,LA Lakers,,
2 mars 2018 Saison régulière,Cleveland Cavaliers,,,Philadelphia 76ers,,
2 mars 2018 Saison régulière,Sacramento Kings,,,Brooklyn Nets,,
2 mars 2018 Saison régulière,Portland Trail Blazers,,,Minnesota Timberwolves,,
1 mars 2018 Saison régulière,Detroit Pistons,,,Milwaukee Bucks,,
1 mars 2018 Saison régulière,Orlando Magic,,,Toronto Raptors,,
1 mars 2018 Saison régulière,Atlanta Hawks,,,Indiana Pacers,,
1 mars 2018 Saison régulière,Boston Celtics,,,Charlotte Hornets,,
1 mars 2018 Saison régulière,Washington Wizards,,,Golden State Warriors,,
1 mars 2018 Saison régulière,Memphis Grizzlies,,,Phoenix Suns,,
1 mars 2018 Saison régulière,Dallas Mavericks,,,Oklahoma City Thunder,,
1 mars 2018 Saison régulière,San Antonio Spurs,,,New Orleans Pelicans,,
1 mars 2018 Saison régulière,LA Clippers,,,Houston Rockets,,
28 février 2018 Saison régulière,Cleveland Cavaliers,,,Brooklyn Nets,,
28 février 2018 Saison régulière,Charlotte Hornets,,,Chicago Bulls,,
28 février 2018 Saison régulière,Miami Heat,,,Philadelphia 76ers,,
28 février 2018 Saison régulière,Milwaukee Bucks,,,Washington Wizards,,
28 février 2018 Saison régulière,Portland Trail Blazers,,,Sacramento Kings,,
28 février 2018 Saison régulière,Denver Nuggets,,,LA Clippers,,
27 février 2018 Saison régulière,Atlanta Hawks,,,LA Lakers,,
27 février 2018 Saison régulière,Toronto Raptors,,,Detroit Pistons,,
27 février 2018 Saison régulière,Boston Celtics,,,Memphis Grizzlies,,
27 février 2018 Saison régulière,New York Knicks,,,Golden State Warriors,,
27 février 2018 Saison régulière,Brooklyn Nets,,,Chicago Bulls,,
26 février 2018 Saison régulière,Washington Wizards,,,Philadelphia 76ers,,
27 février 2018 Saison régulière,New Orleans Pelicans,,,Phoenix Suns,,
27 février 2018 Saison régulière,Oklahoma City Thunder,,,Orlando Magic,,
27 février 2018 Saison régulière,Dallas Mavericks,,,Indiana Pacers,,
26 février 2018 Saison régulière,Denver Nuggets,,,Houston Rockets,,
27 février 2018 Saison régulière,Utah Jazz,,,Houston Rockets,,
27 février 2018 Saison régulière,Sacramento Kings,,,Minnesota Timberwolves,,
23 février 2018 Saison régulière,Orlando Magic,,,New York Knicks,,
23 février 2018 Saison régulière,Charlotte Hornets,,,Brooklyn Nets,,
23 février 2018 Saison régulière,Chicago Bulls,,,Philadelphia 76ers,,
23 février 2018 Saison régulière,Cleveland Cavaliers,,,Washington Wizards,,
23 février 2018 Saison régulière,Sacramento Kings,,,Oklahoma City Thunder,,
23 février 2018 Saison régulière,Golden State Warriors,,,LA Clippers,,
15 février 2018 Saison régulière,Detroit Pistons,,,Atlanta Hawks,,
15 février 2018 Saison régulière,Orlando Magic,,,Charlotte Hornets,,
15 février 2018 Saison régulière,Philadelphia 76ers,,,Miami Heat,,
15 février 2018 Saison régulière,New York Knicks,,,Washington Wizards,,
15 février 2018 Saison régulière,Brooklyn Nets,,,Indiana Pacers,,
15 février 2018 Saison régulière,Chicago Bulls,,,Toronto Raptors,,
15 février 2018 Saison régulière,New Orleans Pelicans,,,LA Lakers,,
15 février 2018 Saison régulière,Boston Celtics,,,LA Clippers,,
15 février 2018 Saison régulière,Houston Rockets,,,Sacramento Kings,,
15 février 2018 Saison régulière,Memphis Grizzlies,,,Oklahoma City Thunder,,
15 février 2018 Saison régulière,Utah Jazz,,,Phoenix Suns,,
15 février 2018 Saison régulière,Portland Trail Blazers,,,Golden State Warriors,,
25 février 2018 Saison régulière,Miami Heat,,,Memphis Grizzlies,,
24 février 2018 Saison régulière,Detroit Pistons,,,Boston Celtics,,
25 février 2018 Saison régulière,New York Knicks,,,Boston Celtics,,
25 février 2018 Saison régulière,Golden State Warriors,,,Oklahoma City Thunder,,
25 février 2018 Saison régulière,Phoenix Suns,,,Portland Trail Blazers,,
25 février 2018 Saison régulière,Minnesota Timberwolves,,,Chicago Bulls,,
24 février 2018 Saison régulière,Indiana Pacers,,,Atlanta Hawks,,
24 février 2018 Saison régulière,Washington Wizards,,,Charlotte Hornets,,
24 février 2018 Saison régulière,Toronto Raptors,,,Milwaukee Bucks,,
24 février 2018 Saison régulière,New Orleans Pelicans,,,Miami Heat,,
25 février 2018 Saison régulière,Utah Jazz,,,Dallas Mavericks,,
25 février 2018 Saison régulière,Sacramento Kings,,,LA Lakers,,
25 février 2018 Saison régulière,Charlotte Hornets,,,Detroit Pistons,,
25 février 2018 Saison régulière,Milwaukee Bucks,,,New Orleans Pelicans,,
24 février 2018 Saison régulière,Houston Rockets,,,Minnesota Timberwolves,,
24 février 2018 Saison régulière,Memphis Grizzlies,,,Cleveland Cavaliers,,
24 février 2018 Saison régulière,Phoenix Suns,,,LA Clippers,,
24 février 2018 Saison régulière,Denver Nuggets,,,San Antonio Spurs,,
25 février 2018 Saison régulière,Cleveland Cavaliers,,,San Antonio Spurs,,
24 février 2018 Saison régulière,Utah Jazz,,,Portland Trail Blazers,,
24 février 2018 Saison régulière,LA Lakers,,,Dallas Mavericks,,
24 février 2018 Saison régulière,Philadelphia 76ers,,,Orlando Magic,,
16 février 2018 Saison régulière,Milwaukee Bucks,,,Denver Nuggets,,
16 février 2018 Saison régulière,Minnesota Timberwolves,,,LA Lakers,,
14 février 2018 Saison régulière,Toronto Raptors,,,Miami Heat,,
14 février 2018 Saison régulière,Milwaukee Bucks,,,Atlanta Hawks,,
14 février 2018 Saison régulière,Minnesota Timberwolves,,,Houston Rockets,,
14 février 2018 Saison régulière,Oklahoma City Thunder,,,Cleveland Cavaliers,,
14 février 2018 Saison régulière,Dallas Mavericks,,,Sacramento Kings,,
14 février 2018 Saison régulière,Denver Nuggets,,,San Antonio Spurs,,
13 février 2018 Saison régulière,Detroit Pistons,,,New Orleans Pelicans,,
13 février 2018 Saison régulière,Philadelphia 76ers,,,New York Knicks,,
13 février 2018 Saison régulière,Brooklyn Nets,,,LA Clippers,,
13 février 2018 Saison régulière,Chicago Bulls,,,Orlando Magic,,
13 février 2018 Saison régulière,Utah Jazz,,,San Antonio Spurs,,
13 février 2018 Saison régulière,Golden State Warriors,,,Phoenix Suns,,
12 février 2018 Saison régulière,Houston Rockets,,,Dallas Mavericks,,
12 février 2018 Saison régulière,Minnesota Timberwolves,,,Sacramento Kings,,
12 février 2018 Saison régulière,Oklahoma City Thunder,,,Memphis Grizzlies,,
12 février 2018 Saison régulière,Portland Trail Blazers,,,Utah Jazz,,
11 février 2018 Saison régulière,Brooklyn Nets,,,New Orleans Pelicans,,
11 février 2018 Saison régulière,Orlando Magic,,,Milwaukee Bucks,,
11 février 2018 Saison régulière,Philadelphia 76ers,,,LA Clippers,,
11 février 2018 Saison régulière,Chicago Bulls,,,Washington Wizards,,
11 février 2018 Saison régulière,Golden State Warriors,,,San Antonio Spurs,,
11 février 2018 Saison régulière,Dallas Mavericks,,,LA Lakers,,
11 février 2018 Saison régulière,Phoenix Suns,,,Denver Nuggets,,
11 février 2018 Saison régulière,Charlotte Hornets,,,Toronto Raptors,,
11 février 2018 Saison régulière,Atlanta Hawks,,,Detroit Pistons,,
8 février 2018 Saison régulière,Detroit Pistons,,,Brooklyn Nets,,
11 février 2018 Saison régulière,Boston Celtics,,,Cleveland Cavaliers,,
11 février 2018 Saison régulière,Indiana Pacers,,,New York Knicks,,
8 février 2018 Saison régulière,Miami Heat,,,Houston Rockets,,
8 février 2018 Saison régulière,New Orleans Pelicans,,,Indiana Pacers,,
8 février 2018 Saison régulière,Cleveland Cavaliers,,,Minnesota Timberwolves,,
10 février 2018 Saison régulière,Detroit Pistons,,,LA Clippers,,
8 février 2018 Saison régulière,Memphis Grizzlies,,,Utah Jazz,,
8 février 2018 Saison régulière,Phoenix Suns,,,San Antonio Spurs,,
10 février 2018 Saison régulière,Philadelphia 76ers,,,New Orleans Pelicans,,
10 février 2018 Saison régulière,Atlanta Hawks,,,Cleveland Cavaliers,,
10 février 2018 Saison régulière,Boston Celtics,,,Indiana Pacers,,
10 février 2018 Saison régulière,Chicago Bulls,,,Minnesota Timberwolves,,
9 février 2018 Saison régulière,Orlando Magic,,,Atlanta Hawks,,
10 février 2018 Saison régulière,Miami Heat,,,Milwaukee Bucks,,
10 février 2018 Saison régulière,Houston Rockets,,,Denver Nuggets,,
10 février 2018 Saison régulière,Utah Jazz,,,Charlotte Hornets,,
10 février 2018 Saison régulière,Sacramento Kings,,,Portland Trail Blazers,,
9 février 2018 Saison régulière,Toronto Raptors,,,New York Knicks,,
9 février 2018 Saison régulière,Washington Wizards,,,Boston Celtics,,
9 février 2018 Saison régulière,Portland Trail Blazers,,,Charlotte Hornets,,
9 février 2018 Saison régulière,Golden State Warriors,,,Dallas Mavericks,,
7 février 2018 Saison régulière,Orlando Magic,,,Cleveland Cavaliers,,
9 février 2018 Saison régulière,LA Lakers,,,Oklahoma City Thunder,,
7 février 2018 Saison régulière,Atlanta Hawks,,,Memphis Grizzlies,,
7 février 2018 Saison régulière,Toronto Raptors,,,Boston Celtics,,
7 février 2018 Saison régulière,New York Knicks,,,Milwaukee Bucks,,
7 février 2018 Saison régulière,Brooklyn Nets,,,Houston Rockets,,
7 février 2018 Saison régulière,Philadelphia 76ers,,,Washington Wizards,,
7 février 2018 Saison régulière,Golden State Warriors,,,Oklahoma City Thunder,,
7 février 2018 Saison régulière,LA Lakers,,,Phoenix Suns,,
6 février 2018 Saison régulière,Detroit Pistons,,,Portland Trail Blazers,,
6 février 2018 Saison régulière,Indiana Pacers,,,Washington Wizards,,
6 février 2018 Saison régulière,Miami Heat,,,Orlando Magic,,
6 février 2018 Saison régulière,New Orleans Pelicans,,,Utah Jazz,,
6 février 2018 Saison régulière,Denver Nuggets,,,Charlotte Hornets,,
6 février 2018 Saison régulière,Sacramento Kings,,,Chicago Bulls,,
6 février 2018 Saison régulière,LA Clippers,,,Dallas Mavericks,,
3 février 2018 Saison régulière,Charlotte Hornets,,,Indiana Pacers,,
3 février 2018 Saison régulière,Toronto Raptors,,,Portland Trail Blazers,,
3 février 2018 Saison régulière,Boston Celtics,,,Atlanta Hawks,,
3 février 2018 Saison régulière,Brooklyn Nets,,,LA Lakers,,
3 février 2018 Saison régulière,Milwaukee Bucks,,,New York Knicks,,
3 février 2018 Saison régulière,Philadelphia 76ers,,,Miami Heat,,
3 février 2018 Saison régulière,Phoenix Suns,,,Utah Jazz,,
3 février 2018 Saison régulière,Oklahoma City Thunder,,,New Orleans Pelicans,,
3 février 2018 Saison régulière,Sacramento Kings,,,Golden State Warriors,,
3 février 2018 Saison régulière,LA Clippers,,,Chicago Bulls,,
4 février 2018 Saison régulière,Detroit Pistons,,,Miami Heat,,
4 février 2018 Saison régulière,Indiana Pacers,,,Philadelphia 76ers,,
4 février 2018 Saison régulière,Orlando Magic,,,Washington Wizards,,
4 février 2018 Saison régulière,Cleveland Cavaliers,,,Houston Rockets,,
4 février 2018 Saison régulière,Denver Nuggets,,,Golden State Warriors,,
4 février 2018 Saison régulière,Minnesota Timberwolves,,,New Orleans Pelicans,,
4 février 2018 Saison régulière,San Antonio Spurs,,,Utah Jazz,,
4 février 2018 Saison régulière,Sacramento Kings,,,Dallas Mavericks,,
4 février 2018 Saison régulière,Toronto Raptors,,,Memphis Grizzlies,,
4 février 2018 Saison régulière,Boston Celtics,,,Portland Trail Blazers,,
4 février 2018 Saison régulière,New York Knicks,,,Atlanta Hawks,,
4 février 2018 Saison régulière,Brooklyn Nets,,,Milwaukee Bucks,,
4 février 2018 Saison régulière,Oklahoma City Thunder,,,LA Lakers,,
4 février 2018 Saison régulière,Phoenix Suns,,,Charlotte Hornets,,
2 février 2018 Saison régulière,Detroit Pistons,,,Memphis Grizzlies,,
2 février 2018 Saison régulière,Washington Wizards,,,Toronto Raptors,,
2 février 2018 Saison régulière,Minnesota Timberwolves,,,Milwaukee Bucks,,
2 février 2018 Saison régulière,San Antonio Spurs,,,Houston Rockets,,
2 février 2018 Saison régulière,Denver Nuggets,,,Oklahoma City Thunder,,
1 février 2018 Saison régulière,Indiana Pacers,,,Memphis Grizzlies,,
1 février 2018 Saison régulière,Orlando Magic,,,LA Lakers,,
1 février 2018 Saison régulière,Atlanta Hawks,,,Charlotte Hornets,,
1 février 2018 Saison régulière,Cleveland Cavaliers,,,Miami Heat,,
1 février 2018 Saison régulière,Brooklyn Nets,,,Philadelphia 76ers,,
1 février 2018 Saison régulière,Boston Celtics,,,New York Knicks,,
1 février 2018 Saison régulière,Portland Trail Blazers,,,Chicago Bulls,,
31 janvier 2018 Saison régulière,Washington Wizards,,,Oklahoma City Thunder,,
1 février 2018 Saison régulière,Phoenix Suns,,,Dallas Mavericks,,
31 janvier 2018 Saison régulière,Toronto Raptors,,,Minnesota Timberwolves,,
31 janvier 2018 Saison régulière,New York Knicks,,,Brooklyn Nets,,
31 janvier 2018 Saison régulière,New Orleans Pelicans,,,Sacramento Kings,,
30 janvier 2018 Saison régulière,Indiana Pacers,,,Charlotte Hornets,,
31 janvier 2018 Saison régulière,Detroit Pistons,,,Cleveland Cavaliers,,
31 janvier 2018 Saison régulière,Houston Rockets,,,Orlando Magic,,
31 janvier 2018 Saison régulière,San Antonio Spurs,,,Denver Nuggets,,
31 janvier 2018 Saison régulière,Utah Jazz,,,Golden State Warriors,,
30 janvier 2018 Saison régulière,Atlanta Hawks,,,Minnesota Timberwolves,,
30 janvier 2018 Saison régulière,Milwaukee Bucks,,,Philadelphia 76ers,,
30 janvier 2018 Saison régulière,Memphis Grizzlies,,,Phoenix Suns,,
31 janvier 2018 Saison régulière,LA Clippers,,,Portland Trail Blazers,,
30 janvier 2018 Saison régulière,Dallas Mavericks,,,Miami Heat,,
30 janvier 2018 Saison régulière,Denver Nuggets,,,Boston Celtics,,
29 janvier 2018 Saison régulière,Cleveland Cavaliers,,,Detroit Pistons,,
29 janvier 2018 Saison régulière,Toronto Raptors,,,LA Lakers,,
29 janvier 2018 Saison régulière,Oklahoma City Thunder,,,Philadelphia 76ers,,
29 janvier 2018 Saison régulière,San Antonio Spurs,,,Sacramento Kings,,
28 janvier 2018 Saison régulière,Detroit Pistons,,,Oklahoma City Thunder,,
28 janvier 2018 Saison régulière,Indiana Pacers,,,Orlando Magic,,
28 janvier 2018 Saison régulière,Atlanta Hawks,,,Washington Wizards,,
28 janvier 2018 Saison régulière,Miami Heat,,,Charlotte Hornets,,
28 janvier 2018 Saison régulière,Golden State Warriors,,,Boston Celtics,,
28 janvier 2018 Saison régulière,Denver Nuggets,,,Dallas Mavericks,,
28 janvier 2018 Saison régulière,Minnesota Timberwolves,,,Brooklyn Nets,,
28 janvier 2018 Saison régulière,Chicago Bulls,,,Milwaukee Bucks,,
28 janvier 2018 Saison régulière,Houston Rockets,,,Phoenix Suns,,
28 janvier 2018 Saison régulière,New Orleans Pelicans,,,LA Clippers,,
27 janvier 2018 Saison régulière,Charlotte Hornets,,,Atlanta Hawks,,
27 janvier 2018 Saison régulière,Cleveland Cavaliers,,,Indiana Pacers,,
27 janvier 2018 Saison régulière,Toronto Raptors,,,Utah Jazz,,
27 janvier 2018 Saison régulière,Chicago Bulls,,,LA Lakers,,
27 janvier 2018 Saison régulière,New Orleans Pelicans,,,Houston Rockets,,
27 janvier 2018 Saison régulière,Milwaukee Bucks,,,Brooklyn Nets,,
27 janvier 2018 Saison régulière,Memphis Grizzlies,,,LA Clippers,,
27 janvier 2018 Saison régulière,Dallas Mavericks,,,Portland Trail Blazers,,
27 janvier 2018 Saison régulière,San Antonio Spurs,,,Philadelphia 76ers,,
26 janvier 2018 Saison régulière,Miami Heat,,,Sacramento Kings,,
27 janvier 2018 Saison régulière,Phoenix Suns,,,New York Knicks,,
26 janvier 2018 Saison régulière,Oklahoma City Thunder,,,Washington Wizards,,
26 janvier 2018 Saison régulière,Denver Nuggets,,,New York Knicks,,
26 janvier 2018 Saison régulière,Golden State Warriors,,,Minnesota Timberwolves,,
25 janvier 2018 Saison régulière,Detroit Pistons,,,Utah Jazz,,
25 janvier 2018 Saison régulière,Indiana Pacers,,,Phoenix Suns,,
25 janvier 2018 Saison régulière,Philadelphia 76ers,,,Chicago Bulls,,
25 janvier 2018 Saison régulière,Charlotte Hornets,,,New Orleans Pelicans,,
25 janvier 2018 Saison régulière,Atlanta Hawks,,,Toronto Raptors,,
